spawn:307.5,97.5
size:24,16
settings:30.0;15.0;7.5;2.0
tile:0,0;0.0,0.0;-10184961;false;false
tile:1,0;30.0,0.0;-10184961;false;false
tile:2,0;60.0,0.0;-10184961;false;false
tile:3,0;90.0,0.0;-10184961;false;false
tile:4,0;120.0,0.0;-10184961;false;false
tile:5,0;150.0,0.0;-10184961;false;false
tile:6,0;180.0,0.0;-10184961;false;false
tile:7,0;210.0,0.0;-10184961;false;false
tile:8,0;240.0,0.0;-10184961;false;false
tile:9,0;270.0,0.0;-10184961;false;false
tile:10,0;300.0,0.0;-10184961;false;false
tile:11,0;330.0,0.0;-10184961;false;false
tile:12,0;360.0,0.0;-10184961;false;false
tile:13,0;390.0,0.0;-10184961;false;false
tile:14,0;420.0,0.0;-10184961;false;false
tile:15,0;450.0,0.0;-10184961;false;false
tile:16,0;480.0,0.0;-10184961;false;false
tile:17,0;510.0,0.0;-10184961;false;false
tile:18,0;540.0,0.0;-10184961;false;false
tile:19,0;570.0,0.0;-10184961;false;false
tile:20,0;600.0,0.0;-10184961;false;false
tile:21,0;630.0,0.0;-10184961;false;false
tile:22,0;660.0,0.0;-10184961;false;false
tile:23,0;690.0,0.0;-10184961;false;false
tile:0,1;0.0,30.0;-10184961;false;false
tile:1,1;30.0,30.0;-10184961;false;false
tile:2,1;60.0,30.0;-10184961;false;false
tile:3,1;90.0,30.0;-10184961;false;false
tile:4,1;120.0,30.0;-10184961;false;false
tile:5,1;150.0,30.0;-10184961;false;false
tile:6,1;180.0,30.0;-10184961;false;false
tile:7,1;210.0,30.0;-10184961;false;false
tile:8,1;240.0,30.0;-10184961;false;false
tile:9,1;270.0,30.0;-10184961;false;false
tile:10,1;300.0,30.0;-10184961;false;false
tile:11,1;330.0,30.0;-10184961;false;false
tile:12,1;360.0,30.0;-10184961;false;false
tile:13,1;390.0,30.0;-10184961;false;false
tile:14,1;420.0,30.0;-10184961;false;false
tile:15,1;450.0,30.0;-10184961;false;false
tile:16,1;480.0,30.0;-10184961;false;false
tile:17,1;510.0,30.0;-10184961;false;false
tile:18,1;540.0,30.0;-10184961;false;false
tile:19,1;570.0,30.0;-10184961;false;false
tile:20,1;600.0,30.0;-10184961;false;false
tile:21,1;630.0,30.0;-10184961;false;false
tile:22,1;660.0,30.0;-10184961;false;false
tile:23,1;690.0,30.0;-10184961;false;false
tile:0,2;0.0,60.0;-10184961;false;false
tile:1,2;30.0,60.0;-10184961;false;false
tile:2,2;60.0,60.0;-10184961;false;false
tile:3,2;90.0,60.0;-10184961;false;false
tile:4,2;120.0,60.0;-10184961;false;false
tile:5,2;150.0,60.0;-10184961;false;false
tile:6,2;180.0,60.0;-10184961;false;false
tile:7,2;210.0,60.0;-10184961;false;false
tile:8,2;240.0,60.0;-10184961;false;false
tile:9,2;270.0,60.0;-10184961;false;false
tile:10,2;300.0,60.0;-10184961;false;false
tile:11,2;330.0,60.0;-10184961;false;false
tile:12,2;360.0,60.0;-10184961;false;false
tile:13,2;390.0,60.0;-10184961;false;false
tile:14,2;420.0,60.0;-10184961;false;false
tile:15,2;450.0,60.0;-10184961;false;false
tile:16,2;480.0,60.0;-10184961;false;false
tile:17,2;510.0,60.0;-10184961;false;false
tile:18,2;540.0,60.0;-10184961;false;false
tile:19,2;570.0,60.0;-10184961;false;false
tile:20,2;600.0,60.0;-10184961;false;false
tile:21,2;630.0,60.0;-10184961;false;false
tile:22,2;660.0,60.0;-10184961;false;false
tile:23,2;690.0,60.0;-10184961;false;false
tile:0,3;0.0,90.0;-10184961;false;false
tile:1,3;30.0,90.0;-10184961;false;false
tile:2,3;60.0,90.0;-10184961;false;false
tile:3,3;90.0,90.0;-10184961;false;false
tile:4,3;120.0,90.0;-10184961;false;false
tile:5,3;150.0,90.0;-10184961;false;false
tile:6,3;180.0,90.0;-10184961;false;false
tile:7,3;210.0,90.0;-10184961;false;false
tile:8,3;240.0,90.0;-10184961;false;false
tile:9,3;270.0,90.0;-11468917;true;false
tile:10,3;300.0,90.0;-11468917;true;false
tile:11,3;330.0,90.0;-10184961;false;false
tile:12,3;360.0,90.0;-10184961;false;false
tile:13,3;390.0,90.0;-10184961;false;false
tile:14,3;420.0,90.0;-10184961;false;false
tile:15,3;450.0,90.0;-10184961;false;false
tile:16,3;480.0,90.0;-10184961;false;false
tile:17,3;510.0,90.0;-10184961;false;false
tile:18,3;540.0,90.0;-10184961;false;false
tile:19,3;570.0,90.0;-10184961;false;false
tile:20,3;600.0,90.0;-10184961;false;false
tile:21,3;630.0,90.0;-10184961;false;false
tile:22,3;660.0,90.0;-10184961;false;false
tile:23,3;690.0,90.0;-10184961;false;false
tile:0,4;0.0,120.0;-10184961;false;false
tile:1,4;30.0,120.0;-10184961;false;false
tile:2,4;60.0,120.0;-10184961;false;false
tile:3,4;90.0,120.0;-10184961;false;false
tile:4,4;120.0,120.0;-10184961;false;false
tile:5,4;150.0,120.0;-10184961;false;false
tile:6,4;180.0,120.0;-10184961;false;false
tile:7,4;210.0,120.0;-10184961;false;false
tile:8,4;240.0,120.0;-10184961;false;false
tile:9,4;270.0,120.0;-11468917;true;false
tile:10,4;300.0,120.0;-11468917;true;false
tile:11,4;330.0,120.0;-10184961;false;false
tile:12,4;360.0,120.0;-10184961;false;false
tile:13,4;390.0,120.0;-10184961;false;false
tile:14,4;420.0,120.0;-10184961;false;false
tile:15,4;450.0,120.0;-10184961;false;false
tile:16,4;480.0,120.0;-10184961;false;false
tile:17,4;510.0,120.0;-10184961;false;false
tile:18,4;540.0,120.0;-10184961;false;false
tile:19,4;570.0,120.0;-10184961;false;false
tile:20,4;600.0,120.0;-10184961;false;false
tile:21,4;630.0,120.0;-10184961;false;false
tile:22,4;660.0,120.0;-10184961;false;false
tile:23,4;690.0,120.0;-10184961;false;false
tile:0,5;0.0,150.0;-10184961;false;false
tile:1,5;30.0,150.0;-10184961;false;false
tile:2,5;60.0,150.0;-10184961;false;false
tile:3,5;90.0,150.0;-10184961;false;false
tile:4,5;120.0,150.0;-10184961;false;false
tile:5,5;150.0,150.0;-10184961;false;false
tile:6,5;180.0,150.0;-10184961;false;false
tile:7,5;210.0,150.0;-10184961;false;false
tile:8,5;240.0,150.0;255;true;false
tile:9,5;270.0,150.0;230;true;false
tile:10,5;300.0,150.0;255;true;false
tile:11,5;330.0,150.0;230;true;false
tile:12,5;360.0,150.0;-10184961;false;false
tile:13,5;390.0,150.0;-10184961;false;false
tile:14,5;420.0,150.0;-10184961;false;false
tile:15,5;450.0,150.0;-10184961;false;false
tile:16,5;480.0,150.0;-10184961;false;false
tile:17,5;510.0,150.0;-10184961;false;false
tile:18,5;540.0,150.0;-10184961;false;false
tile:19,5;570.0,150.0;-10184961;false;false
tile:20,5;600.0,150.0;-10184961;false;false
tile:21,5;630.0,150.0;-10184961;false;false
tile:22,5;660.0,150.0;-10184961;false;false
tile:23,5;690.0,150.0;-10184961;false;false
tile:0,6;0.0,180.0;-10184961;false;false
tile:1,6;30.0,180.0;-10184961;false;false
tile:2,6;60.0,180.0;-10184961;false;false
tile:3,6;90.0,180.0;-10184961;false;false
tile:4,6;120.0,180.0;-10184961;false;false
tile:5,6;150.0,180.0;-10184961;false;false
tile:6,6;180.0,180.0;-10184961;false;false
tile:7,6;210.0,180.0;255;true;false
tile:8,6;240.0,180.0;230;true;false
tile:9,6;270.0,180.0;255;true;false
tile:10,6;300.0,180.0;230;true;false
tile:11,6;330.0,180.0;255;true;false
tile:12,6;360.0,180.0;230;true;false
tile:13,6;390.0,180.0;-10184961;false;false
tile:14,6;420.0,180.0;-10184961;false;false
tile:15,6;450.0,180.0;-10184961;false;false
tile:16,6;480.0,180.0;-10184961;false;false
tile:17,6;510.0,180.0;-10184961;false;false
tile:18,6;540.0,180.0;-10184961;false;false
tile:19,6;570.0,180.0;-10184961;false;false
tile:20,6;600.0,180.0;-10184961;false;false
tile:21,6;630.0,180.0;-10184961;false;false
tile:22,6;660.0,180.0;-10184961;false;false
tile:23,6;690.0,180.0;-10184961;false;false
tile:0,7;0.0,210.0;-10184961;false;false
tile:1,7;30.0,210.0;-10184961;false;false
tile:2,7;60.0,210.0;-10184961;false;false
tile:3,7;90.0,210.0;-10184961;false;false
tile:4,7;120.0,210.0;-10184961;false;false
tile:5,7;150.0,210.0;-10184961;false;false
tile:6,7;180.0,210.0;255;true;false
tile:7,7;210.0,210.0;230;true;false
tile:8,7;240.0,210.0;255;true;false
tile:9,7;270.0,210.0;230;true;false
tile:10,7;300.0,210.0;255;true;false
tile:11,7;330.0,210.0;230;true;false
tile:12,7;360.0,210.0;255;true;false
tile:13,7;390.0,210.0;230;true;false
tile:14,7;420.0,210.0;-10184961;false;false
tile:15,7;450.0,210.0;-10184961;false;false
tile:16,7;480.0,210.0;-10184961;false;false
tile:17,7;510.0,210.0;-10184961;false;false
tile:18,7;540.0,210.0;-10184961;false;false
tile:19,7;570.0,210.0;-10184961;false;false
tile:20,7;600.0,210.0;-10184961;false;false
tile:21,7;630.0,210.0;-10184961;false;false
tile:22,7;660.0,210.0;-10184961;false;false
tile:23,7;690.0,210.0;-10184961;false;false
tile:0,8;0.0,240.0;-10184961;false;false
tile:1,8;30.0,240.0;-10184961;false;false
tile:2,8;60.0,240.0;-10184961;false;false
tile:3,8;90.0,240.0;-11468917;true;true
